post_id,published_at_utc,llm_decision,announcement_status,primary_action,secondary_actions,action_cluster_id,new_hard_reset_actions,new_banked_reset_actions,new_limit_change_actions,reason_type,confidence,linked_post_ids,llm_rationale,human_checks_required
2075330198887940337,2026-07-09T21:24:11.842Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_07_09,1,0,0,launch_promotion,high,,"Explicit full reset linked to new model researcher/capabilities","Reason could be milestone celebration rather than launch"
2075641131002700120,2026-07-10T17:59:43.835Z,accept_reset_announcement,claimed_done,hard_global,"promised_second_reset",RESET_2026_07_10,1,0,0,mixed_or_unclear,high,2075820987833274448,"Explicit completed reset and a distinct later reset promise","Full long post is truncated"
2075820987833274448,2026-07-11T05:54:25.045Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_07_11,1,0,0,mixed_or_unclear,high,2075641131002700120,"Explicit another reset; fulfillment of prior second-reset promise","Confirm all-user versus paid-user scope"
2076365965915467978,2026-07-12T17:59:57.945Z,accept_reset_announcement,in_progress,hard_global,"extension_or_multiplier:temporary_5h_removal",RESET_2026_07_12,1,0,1,milestone_celebration,medium,,"Contemporaneous coverage preserves reset and 6M milestone hidden by oEmbed truncation","Open full X post and archive complete text"
2076418567143408112,2026-07-12T21:28:59.055Z,accept_reset_announcement,claimed_done,banked_credit,,BANKED_2026_07_12,0,1,0,incident_compensation,high,,"Explicit banked grant to 500k users after redemption issue","Full eligibility logic is truncated"
2076735790567338203,2026-07-13T18:29:31.013Z,accept_reset_announcement,claimed_done,banked_credit,,BANKED_2026_07_13,0,1,0,milestone_celebration,high,,"Explicit banked reset for everyone at 7M milestone","Verify actual eligible plans"
2077114635308986427,2026-07-14T19:34:54.638Z,accept_reset_announcement,in_progress,hard_global,"continuation_of_5h_removal",RESET_2026_07_14,1,0,0,milestone_celebration,high,,"Explicit 8M milestone reset","Do not count continuing 5h removal as a new limit action"
2077607697487188198,2026-07-16T04:14:09.822Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_07_16,1,0,0,milestone_celebration,high,,"Explicit 9M milestone reset","Full closing sentence is truncated"
2078320950488297917,2026-07-18T03:28:22.589Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_07_18,1,0,0,mixed_or_unclear,high,,"Explicit all-paid reset","Search preceding context for discrete reason"
2079609157934886975,2026-07-21T16:47:15.178Z,accept_reset_announcement,in_progress,hard_global,,RESET_2026_07_21,1,0,0,milestone_celebration,high,,"Explicit 10M milestone reset","None"
2081096447718723984,2026-07-25T19:17:12.695Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_07_25,1,0,0,incident_compensation,high,,"Explicit completed reset after almost-global outage","Match official status incident"
2081899343091843463,2026-07-28T00:27:37.869Z,related_predictive_signal,not_applicable,none,,RESET_2026_07_28,0,0,0,launch_promotion,high,2081940052154933696,"Feeling like a reset is a signal, not a definite announcement","Retain as pre-event feature only"
2081940052154933696,2026-07-28T03:09:23.666Z,accept_reset_announcement,claimed_done,hard_global,,RESET_2026_07_28,1,0,0,launch_promotion,medium,2081899343091843463,"Explicit completed reset after adoption-celebration signal","Reason taxonomy may be mixed or milestone celebration"
