replay_forecast_id,predictor_id,participant_id,issued_at_utc,horizon_hours,window_end_utc,probability,label,event_count,brier,log_loss,evidence_cutoff_utc,evidence_ids,rationale,replay_method,payload_sha256
REPLAY_20260610T170000Z_P_LLM_DEEPSEEK_V4_24H,P_LLM_DEEPSEEK_V4,deepseek-v4-pro,2026-06-10T17:00:00Z,24,2026-06-11T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2061106703446450392;CTX_2062329981548802523,历史23次特殊重置公告的平均间隔约7.7天，自然基准率为24小时内约12%、168小时内约60%。近期事件触发模式类似泊松过程，无记忆性下当前等待期不影响后续概率，维持基准值。 反向证据：截止前6天无新公告、无未解决的产品事件，短期缺少强制触发信号，24小时概率可能略低于基准。,current_context_builder_llm_replay_v1,5cb62b9c211cad33859466cb04fbc10e1bbe10295a96cc07b0915aaaca6d0cfa
REPLAY_20260610T170000Z_P_LLM_DEEPSEEK_V4_168H,P_LLM_DEEPSEEK_V4,deepseek-v4-pro,2026-06-10T17:00:00Z,168,2026-06-17T17:00:00Z,0.60000000,1,2,0.16000000,0.51082562,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2061106703446450392;CTX_2062329981548802523,历史23次特殊重置公告的平均间隔约7.7天，自然基准率为24小时内约12%、168小时内约60%。近期事件触发模式类似泊松过程，无记忆性下当前等待期不影响后续概率，维持基准值。 反向证据：截止前6天无新公告、无未解决的产品事件，短期缺少强制触发信号，24小时概率可能略低于基准。,current_context_builder_llm_replay_v1,f094575a990ffcb55c7520b7e935ceb3c61587839eac2ca9101153944c792b20
REPLAY_20260610T170000Z_P_LLM_QWEN35_397B_24H,P_LLM_QWEN35_397B,qwen3.5-397b-a17b,2026-06-10T17:00:00Z,24,2026-06-11T17:00:00Z,0.15000000,0,0,0.02250000,0.16251893,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2058280452851638313;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,近期硬全局重置公告频率约为每周一次，距上次 6 月 4 日公告已过去 6 天，处于统计高发区间。然而证据显示此类公告多由产品事故驱动，且 6 月 4 日后无新增已解决事故上下文，抑制了即时概率。168 小时窗口足够覆盖潜在的新事故周期，符合历史基准率。 反向证据：冻结证据中自 6 月 4 日后无新增已解决的产品事故上下文，缺乏直接触发补偿公告的信号。,current_context_builder_llm_replay_v1,ca9b92dcd4223365f31b023fc05696e0bc4e9b83385e45bdec8c4e6910f2cde1
REPLAY_20260610T170000Z_P_LLM_QWEN35_397B_168H,P_LLM_QWEN35_397B,qwen3.5-397b-a17b,2026-06-10T17:00:00Z,168,2026-06-17T17:00:00Z,0.55000000,1,2,0.20250000,0.59783700,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2058280452851638313;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,近期硬全局重置公告频率约为每周一次，距上次 6 月 4 日公告已过去 6 天，处于统计高发区间。然而证据显示此类公告多由产品事故驱动，且 6 月 4 日后无新增已解决事故上下文，抑制了即时概率。168 小时窗口足够覆盖潜在的新事故周期，符合历史基准率。 反向证据：冻结证据中自 6 月 4 日后无新增已解决的产品事故上下文，缺乏直接触发补偿公告的信号。,current_context_builder_llm_replay_v1,7537e29b02140d3780c4a5fedd2cbf9d9c951b29d12057cf3633968181d02f41
REPLAY_20260610T170000Z_P_LLM_KIMI_K25_24H,P_LLM_KIMI_K25,kimi-k2.5,2026-06-10T17:00:00Z,24,2026-06-11T17:00:00Z,0.08000000,0,0,0.00640000,0.08338161,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,历史数据显示23次公告中incident_compensation占主导（约52%），但最近6月4日刚完成一次补偿性reset，短期内重复概率降低。过去90天内平均间隔约7-10天，但6月3-4日连续两次incident后已释放压力。无待解决的promised状态公告，也无高关注度未解决事件。 反向证据：6月4日刚发生incident并已完成reset，短期再发incident触发新公告的基率较低,current_context_builder_llm_replay_v1,c149d4435d203f77ade08110ef707e8a8aa339f3a26ef8e059d21b050da012ae
REPLAY_20260610T170000Z_P_LLM_KIMI_K25_168H,P_LLM_KIMI_K25,kimi-k2.5,2026-06-10T17:00:00Z,168,2026-06-17T17:00:00Z,0.35000000,1,2,0.42250000,1.04982212,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,历史数据显示23次公告中incident_compensation占主导（约52%），但最近6月4日刚完成一次补偿性reset，短期内重复概率降低。过去90天内平均间隔约7-10天，但6月3-4日连续两次incident后已释放压力。无待解决的promised状态公告，也无高关注度未解决事件。 反向证据：6月4日刚发生incident并已完成reset，短期再发incident触发新公告的基率较低,current_context_builder_llm_replay_v1,a5607b4d866bc15dcc2465e1bec0a4e897a623759307b6986b71964be425c69e
REPLAY_20260610T170000Z_P_LLM_STEP35_24H,P_LLM_STEP35,step-3.5-flash,2026-06-10T17:00:00Z,24,2026-06-11T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2058280452851638313;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,历史累计23条符合要求的特殊额度重置公告，2026年3月至6月平均约3-4天发布一次，但最近一次公告发布于6月4日，截至证据截止日已连续6天无相关公告及高权重触发事件。24小时内无正在发生的产品故障、运营活动或里程碑节点等高权重触发信号，因此24小时内发布公告的概率较低。7天周期内大概率会出现新的产品故障、运营活动或里程碑节点，触发重置公告的概率显著高于24小时窗口。 反向证据：当前无正在发生的产品故障、即将到来的重大节点或上线活动等高权重触发信号，24小时内发布公告的可能性较低,current_context_builder_llm_replay_v1,f518f01b193de665b9a2a045f630119a2429e3cfe79c117a05fda4e7ba3242a2
REPLAY_20260610T170000Z_P_LLM_STEP35_168H,P_LLM_STEP35,step-3.5-flash,2026-06-10T17:00:00Z,168,2026-06-17T17:00:00Z,0.55000000,1,2,0.20250000,0.59783700,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;ANN_X_2058280452851638313;CTX_2062329981548802523;CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,历史累计23条符合要求的特殊额度重置公告，2026年3月至6月平均约3-4天发布一次，但最近一次公告发布于6月4日，截至证据截止日已连续6天无相关公告及高权重触发事件。24小时内无正在发生的产品故障、运营活动或里程碑节点等高权重触发信号，因此24小时内发布公告的概率较低。7天周期内大概率会出现新的产品故障、运营活动或里程碑节点，触发重置公告的概率显著高于24小时窗口。 反向证据：当前无正在发生的产品故障、即将到来的重大节点或上线活动等高权重触发信号，24小时内发布公告的可能性较低,current_context_builder_llm_replay_v1,3f4d545d1fcdc46c075c64500cf465d7130fe617762a2832640e0f0f3c0db0d5
REPLAY_20260610T170000Z_P_LLM_MINIMAX_M27_24H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-06-10T17:00:00Z,24,2026-06-11T17:00:00Z,0.06000000,0,0,0.00360000,0.06187540,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;CTX_2062329981548802523;ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2046367145588916687;CTX_2046367145588916687,根据历史数据，23次公告集中在2026年3月至6月初，平均约每5-8天发生一次特殊reset。最近一起事件（CTX_2062329981548802523）已于6月3日解决，距证据截止日（6月10日）已过去约7天，未见新的compensation reset公告。历史上产品事故后通常伴随补偿性reset，但事件间隔不固定。当前处于相对平静期，短期内再次发生重大事故导致reset的概率适中偏低。 反向证据：最近已连续发生多起incident compensation reset，短期内可能进入平静期，不再有新的大规模reset公告。,current_context_builder_llm_replay_v1,7ac6f46e5f5ed0b2a8061809695a9b165ce1542a59e3cd946fddfca6f4b2205e
REPLAY_20260610T170000Z_P_LLM_MINIMAX_M27_168H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-06-10T17:00:00Z,168,2026-06-17T17:00:00Z,0.22000000,1,2,0.60840000,1.51412773,2026-06-10T17:00:00Z,ANN_X_2062329981548802523;CTX_2062329981548802523;ANN_X_2058280452851638313;CTX_2058280452851638313;ANN_X_2046367145588916687;CTX_2046367145588916687,根据历史数据，23次公告集中在2026年3月至6月初，平均约每5-8天发生一次特殊reset。最近一起事件（CTX_2062329981548802523）已于6月3日解决，距证据截止日（6月10日）已过去约7天，未见新的compensation reset公告。历史上产品事故后通常伴随补偿性reset，但事件间隔不固定。当前处于相对平静期，短期内再次发生重大事故导致reset的概率适中偏低。 反向证据：最近已连续发生多起incident compensation reset，短期内可能进入平静期，不再有新的大规模reset公告。,current_context_builder_llm_replay_v1,e109ee7522341e67d0986b2fb972a9ed60ad9a1ad37de998b8f3313fc73d8519
REPLAY_20260624T170000Z_P_LLM_STEP35_24H,P_LLM_STEP35,step-3.5-flash,2026-06-24T17:00:00Z,24,2026-06-25T17:00:00Z,0.12000000,0,0,0.01440000,0.12783337,2026-06-24T17:00:00Z,ANN_X_2067399435009622521;CTX_STATUS_01KV7ZT644J4V94GSXMFPY2ANR,当前证据截止时间前最近一次相关公告发布于2026年6月18日，无已公开的即将到来的产品故障、版本发布、里程碑节点等可触发特殊额度reset公告的事件，24小时内发布新公告的概率较低；历史数据显示该类公告平均发布间隔约3-7天，7天内存在发布可能但无明确强触发信号支撑，因此168小时概率高于24小时水平。 反向证据：当前无已公开的即将到来的可触发特殊额度reset公告的相关事件,current_context_builder_llm_replay_v1,5887694c0f8e51a4017e4d4899e3463a744cf00ca0b27facfc1f16a2379a7191
REPLAY_20260624T170000Z_P_LLM_STEP35_168H,P_LLM_STEP35,step-3.5-flash,2026-06-24T17:00:00Z,168,2026-07-01T17:00:00Z,0.50000000,1,3,0.25000000,0.69314718,2026-06-24T17:00:00Z,ANN_X_2067399435009622521;CTX_STATUS_01KV7ZT644J4V94GSXMFPY2ANR,当前证据截止时间前最近一次相关公告发布于2026年6月18日，无已公开的即将到来的产品故障、版本发布、里程碑节点等可触发特殊额度reset公告的事件，24小时内发布新公告的概率较低；历史数据显示该类公告平均发布间隔约3-7天，7天内存在发布可能但无明确强触发信号支撑，因此168小时概率高于24小时水平。 反向证据：当前无已公开的即将到来的可触发特殊额度reset公告的相关事件,current_context_builder_llm_replay_v1,a9e28966cfb70b41946003998d88af5b1759a2fa54267817254dde2f76adac5f
REPLAY_20260624T170000Z_P_LLM_MINIMAX_M27_24H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-06-24T17:00:00Z,24,2026-06-25T17:00:00Z,0.08000000,0,0,0.00640000,0.08338161,2026-06-24T17:00:00Z,ANN_X_2067399435009622521;ANN_X_2066956441173323943,根据冻结证据（2026-06-24），最近一次公告发布于2026-06-18，至今已过约6天。所有近期相关上下文均为已解决的产品事故（resolved状态），且距最后一次公告未出现新的事故或里程碑事件。历史26次公告通常由具体事件触发，间隔从2天到十余天不等，当前缺乏明确触发因素。基准率较低，但鉴于历史公告频率和当前无明显触发条件，概率应维持在中低水平。 反向证据：近期产品事故均已解决，且距上次公告已有6天，无即时触发信号。,current_context_builder_llm_replay_v1,66d3d20ee4aada56982fb76b9b3da51d9da364b9fcedd58aa141f21af5800605
REPLAY_20260624T170000Z_P_LLM_MINIMAX_M27_168H,P_LLM_MINIMAX_M27,MiniMax-M2.7,2026-06-24T17:00:00Z,168,2026-07-01T17:00:00Z,0.22000000,1,3,0.60840000,1.51412773,2026-06-24T17:00:00Z,ANN_X_2067399435009622521;ANN_X_2066956441173323943,根据冻结证据（2026-06-24），最近一次公告发布于2026-06-18，至今已过约6天。所有近期相关上下文均为已解决的产品事故（resolved状态），且距最后一次公告未出现新的事故或里程碑事件。历史26次公告通常由具体事件触发，间隔从2天到十余天不等，当前缺乏明确触发因素。基准率较低，但鉴于历史公告频率和当前无明显触发条件，概率应维持在中低水平。 反向证据：近期产品事故均已解决，且距上次公告已有6天，无即时触发信号。,current_context_builder_llm_replay_v1,8c3b1159de8b62f41f08e1775c2ba9d70293f631082bee5c7f6c75510fab7c20
REPLAY_20260722T170000Z_P_LLM_STEP35_24H,P_LLM_STEP35,step-3.5-flash,2026-07-22T17:00:00Z,24,2026-07-23T17:00:00Z,0.15000000,0,0,0.02250000,0.16251893,2026-07-22T17:00:00Z,ANN_X_2079609157934886975;ANN_X_2078320950488297917;CTX_STATUS_01KXT44TAQQ2R0AZDDVSJGAC4H;CTX_STATUS_01KXYF4BTCV9DTZ5NDSFN716FH,历史符合研究协议的特殊reset公告平均每2天发布1条，最近一条处于in_progress状态的milestone相关公告发布于7月21日，24小时窗口内无未解决的高优先级incident、即将公开的产品milestone等明确触发信号，且需排除正常周期的额度刷新，因此24小时发布概率较低；过往incident补偿类reset公告多伴随官方incident报告发布，当前也无此类待补偿事件信号；168小时窗口覆盖一周周期，存在后续因incident、milestone等触发新特殊reset公告的可能，概率显著高于24小时。 反向证据：当前无公开即将到来的产品milestone、未解决的高优先级incident，且最近一次特殊reset公告已发布约1天，短期无明确触发信号。,current_context_builder_llm_replay_v1,8177df6b7ea77093edcb473c08b7b5d1c81a577b369f301090e3ad983c2b5ca1
REPLAY_20260722T170000Z_P_LLM_STEP35_168H,P_LLM_STEP35,step-3.5-flash,2026-07-22T17:00:00Z,168,2026-07-29T17:00:00Z,0.60000000,1,2,0.16000000,0.51082562,2026-07-22T17:00:00Z,ANN_X_2079609157934886975;ANN_X_2078320950488297917;CTX_STATUS_01KXT44TAQQ2R0AZDDVSJGAC4H;CTX_STATUS_01KXYF4BTCV9DTZ5NDSFN716FH,历史符合研究协议的特殊reset公告平均每2天发布1条，最近一条处于in_progress状态的milestone相关公告发布于7月21日，24小时窗口内无未解决的高优先级incident、即将公开的产品milestone等明确触发信号，且需排除正常周期的额度刷新，因此24小时发布概率较低；过往incident补偿类reset公告多伴随官方incident报告发布，当前也无此类待补偿事件信号；168小时窗口覆盖一周周期，存在后续因incident、milestone等触发新特殊reset公告的可能，概率显著高于24小时。 反向证据：当前无公开即将到来的产品milestone、未解决的高优先级incident，且最近一次特殊reset公告已发布约1天，短期无明确触发信号。,current_context_builder_llm_replay_v1,ea8e69416cf8f2282ae03e2e7642376ee0214babcc534c8544629b5e6addb314
