context_event_id,linked_announcement_id,start_at_utc,first_public_at_utc,resolved_at_utc,event_type,event_origin,incident_stage,milestone_label,launch_label,novelty_0_3,disruption_0_3,criticality_0_3,event_strength_0_9,attention_state_0_5,official_incident,root_cause_known,mitigation_confirmed,affected_scope,prediction_eligible,prediction_ineligible_reason,confidence,annotation_method,source_ids,scoring_rationale
CTX_STATUS_01KEDP2078ND35EQG75BVDZE5E,,2026-01-08T02:13:00Z,2026-01-08T02:13:00Z,2026-01-08T02:30:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KEDP2078ND35EQG75BVDZE5E,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KFK1A9AAJ246K5G966PSQQJK,,2026-01-22T14:21:00Z,2026-01-22T14:21:00Z,2026-01-22T14:55:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KFK1A9AAJ246K5G966PSQQJK,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KFXHMCMQE0EWA7R8RM5F9YW2,,2026-01-26T16:19:00Z,2026-01-26T16:19:00Z,2026-01-26T17:27:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KFXHMCMQE0EWA7R8RM5F9YW2,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KFZB0A5C1D3TQED136VXFT9W,,2026-01-27T09:01:00Z,2026-01-27T09:01:00Z,2026-01-27T11:03:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KFZB0A5C1D3TQED136VXFT9W,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KGJK9Q6PDB3C3VX6MPCY6106,,2026-02-03T20:32:00Z,2026-02-03T20:32:00Z,2026-02-03T22:14:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KGJK9Q6PDB3C3VX6MPCY6106,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KGMVV926ZSCD1MSDBS07AWYA,,2026-02-04T17:05:00Z,2026-02-04T17:05:00Z,2026-02-04T21:04:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KGMVV926ZSCD1MSDBS07AWYA,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KGNJACX0T5CYY1YWS8RNW6S6,,2026-02-04T22:09:00Z,2026-02-04T22:09:00Z,2026-02-05T00:48:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KGNJACX0T5CYY1YWS8RNW6S6,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KH1KTV2VBD62R0MRZFJ13XNE,,2026-02-09T16:30:00Z,2026-02-09T16:30:00Z,2026-02-09T20:23:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KH1KTV2VBD62R0MRZFJ13XNE,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KH9WCWZ41K9ST9FGB1V15DFC,,2026-02-12T21:20:00Z,2026-02-12T21:20:00Z,2026-02-12T21:40:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KH9WCWZ41K9ST9FGB1V15DFC,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KHKQWHXEF4WJY8WGX24RA07R,,2026-02-16T17:27:00Z,2026-02-16T17:27:00Z,2026-02-16T17:47:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KHKQWHXEF4WJY8WGX24RA07R,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KJB80QA8P62R9X3B71YAZEAK,,2026-02-25T18:15:00Z,2026-02-25T18:15:00Z,2026-02-25T21:05:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KJB80QA8P62R9X3B71YAZEAK,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KJRP6KJKP51AGPA5FW8FWFFM,,2026-03-03T01:50:00Z,2026-03-03T01:50:00Z,2026-03-03T01:52:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KJRP6KJKP51AGPA5FW8FWFFM,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2028649088594436225,ANN_X_2028649088594436225,2026-03-03T01:50:07.855Z,2026-03-03T01:50:07.855Z,,product_incident,product_or_infrastructure,resolved,,,1,2,3,6,3,0,1,1,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2028649088594436225,Service outage/blocking affected core Codex operation.
CTX_2029308599835738218,ANN_X_2029308599835738218,2026-03-04T21:30:47.588Z,2026-03-04T21:30:47.588Z,,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,0,0,1,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2029308599835738218,Confirmed or claimed product shortfall with moderate disruption.
CTX_STATUS_01KJXQDJ6P1CG5YNXKZRY2H6RX,,2026-03-05T00:47:00Z,2026-03-05T00:47:00Z,2026-03-05T01:12:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KJXQDJ6P1CG5YNXKZRY2H6RX,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2030474136024400173,ANN_X_2030474136024400173,2026-03-06T18:35:16Z,2026-03-06T18:35:16Z,2026-03-07T01:00:41Z,community_signal,organization_or_community,resolved,,,1,1,2,4,3,1,0,1,,1,,high,llm_rule_assisted_v0.1,STATUS_01KK26XE1W536H7DQV2EXM3GHE;SRC_X_2030474136024400173,Aggregated public reports create visibility but limited proven disruption.
CTX_STATUS_01KK9JA8JKQKDW1W24T09NHBYH,,2026-03-09T15:09:00Z,2026-03-09T15:09:00Z,2026-03-11T16:17:00Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_search_backfill_v0.1,STATUS_01KK9JA8JKQKDW1W24T09NHBYH,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2031216405266481489,ANN_X_2031216405266481489,2026-03-10T03:51:43.848Z,2026-03-10T03:51:43.848Z,,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,0,0,1,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2031216405266481489,Confirmed or claimed product shortfall with moderate disruption.
CTX_2031605592352313567,ANN_X_2031605592352313567,2026-03-11T05:38:13.280Z,2026-03-11T05:38:13.280Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2031605592352313567,Confirmed or claimed product shortfall with moderate disruption.
CTX_2037346989244096581,ANN_X_2037346989244096581,2026-03-27T01:52:28.969Z,2026-03-27T01:52:28.969Z,,product_launch_or_promotion,organization_or_community,,,plugins,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2037346989244096581,New product/model/plan launch is novel and strategically salient.
CTX_2039248564967424483,ANN_X_2039248564967424483,2026-04-01T07:48:39.951Z,2026-04-01T07:48:39.951Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2039248564967424483,Confirmed or claimed product shortfall with moderate disruption.
CTX_2041655710346572085,ANN_X_2041655710346572085,2026-04-07T23:13:48.132Z,2026-04-07T23:13:48.132Z,,milestone,organization_or_community,,3M weekly users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2041655710346572085,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_2042299371602264319,ANN_X_2042299371602264319,2026-04-09T17:51:28.934Z,2026-04-09T17:51:28.934Z,,product_launch_or_promotion,organization_or_community,,,$100 plan,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2042299371602264319,New product/model/plan launch is novel and strategically salient.
CTX_2044943514832871564,ANN_X_2044943514832871564,2026-04-17T00:58:21.806Z,2026-04-17T00:58:21.806Z,,milestone,organization_or_community,,1-year anniversary,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2044943514832871564,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_2046367145588916687,ANN_X_2046367145588916687,2026-04-20T22:57:00Z,2026-04-20T22:57:00Z,2026-04-20T23:13:00Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,llm_rule_assisted_v0.1,STATUS_01KPPJX4KHFAWS8YQE3KW235X7;SRC_X_2046367145588916687,Confirmed or claimed product shortfall with moderate disruption.
CTX_2048997818673537399,ANN_X_2048997818673537399,2026-04-28T05:28:43.167Z,2026-04-28T05:28:43.167Z,,milestone,organization_or_community,,,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2048997818673537399,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_STATUS_01KQB4AMHC9CKFYT863PMXN1YR,,2026-04-28T22:46:00.492Z,2026-04-28T22:46:00.492Z,2026-04-28T23:12:55.93Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KQB4AMHC9CKFYT863PMXN1YR,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KR1Q0SWZESWXQVWQRKRDJCHK,,2026-05-07T17:15:58.75Z,2026-05-07T17:15:58.75Z,2026-05-08T08:31:20.241Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KR1Q0SWZESWXQVWQRKRDJCHK,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KR421V8PCTFKA8EJJC2VCGA3,,2026-05-08T15:07:16.117Z,2026-05-08T15:07:16.117Z,2026-05-08T16:17:19.433Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KR421V8PCTFKA8EJJC2VCGA3,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KRAA341YK58M05V2DFGDRMFB,,2026-05-11T01:23:13.085Z,2026-05-11T01:23:13.085Z,2026-05-11T05:35:41.738Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KRAA341YK58M05V2DFGDRMFB,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KRG6MF021JQ997JCR7R8Y9A0,,2026-05-13T08:18:13.633Z,2026-05-13T08:18:13.633Z,2026-05-13T10:20:14.926Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KRG6MF021JQ997JCR7R8Y9A0,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KRM4H2T37TNSS7BCSGXVS8RQ,,2026-05-14T20:58:23.426Z,2026-05-14T20:58:23.426Z,2026-05-14T21:28:20.435Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KRM4H2T37TNSS7BCSGXVS8RQ,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2055707616605835333,ANN_X_2055707616605835333,2026-05-16T17:51:03.656Z,2026-05-16T17:51:03.656Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2055707616605835333,No single explicit event mechanism; weak contextual event.
CTX_2058280452851638313,ANN_X_2058280452851638313,2026-05-22T16:37:50Z,2026-05-22T16:37:50Z,2026-05-23T10:58:20Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,1,1,,1,,high,llm_rule_assisted_v0.1,STATUS_TCC95QA3;SRC_X_2058280452851638313,Confirmed or claimed product shortfall with moderate disruption.
CTX_STATUS_01KSN9ATSF1WCJ5ZTQSR1H9CC7,,2026-05-27T17:57:17.742Z,2026-05-27T17:57:17.742Z,2026-05-28T06:59:35.318Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KSN9ATSF1WCJ5ZTQSR1H9CC7,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2061106703446450392,ANN_X_2061106703446450392,2026-05-31T15:25:06.269Z,2026-05-31T15:25:06.269Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2061106703446450392,No single explicit event mechanism; weak contextual event.
CTX_STATUS_01KT5B2V94YX1T1M88BVQHB58J,,2026-06-02T23:35:44.163Z,2026-06-02T23:35:44.163Z,2026-06-03T00:13:15.489Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KT5B2V94YX1T1M88BVQHB58J,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2062329981548802523,ANN_X_2062329981548802523,2026-06-03T04:58:00Z,2026-06-03T04:58:00Z,2026-06-03T11:09:42Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,llm_rule_assisted_v0.1,STATUS_01KT5XJ5ATD6RMYP908WS69FVD;SRC_X_2062329981548802523,Confirmed or claimed product shortfall with moderate disruption.
CTX_STATUS_01KT890WC7YQYMX39GY5VG9QAB,,2026-06-04T02:57:25.894Z,2026-06-04T02:57:25.894Z,2026-06-04T04:37:16.567Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KT890WC7YQYMX39GY5VG9QAB,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KTW7QY5W9DDYT0ETXX6MPVSY,,2026-06-11T20:59:52.891Z,2026-06-11T20:59:52.891Z,2026-06-11T22:28:09.546Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KTW7QY5W9DDYT0ETXX6MPVSY,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2065225362544726371,ANN_X_2065225362544726371,2026-06-12T00:11:11.119Z,2026-06-12T00:11:11.119Z,,product_launch_or_promotion,organization_or_community,,,,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2065225362544726371,New product/model/plan launch is novel and strategically salient.
CTX_STATUS_01KV6W1JX2T4T1455777Q1R2W5,,2026-06-16T00:07:04.865Z,2026-06-16T00:07:04.865Z,2026-06-16T00:55:57.431Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KV6W1JX2T4T1455777Q1R2W5,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KV7ZT644J4V94GSXMFPY2ANR,,2026-06-16T10:32:11.139Z,2026-06-16T10:32:11.139Z,2026-06-16T13:48:12.72Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KV7ZT644J4V94GSXMFPY2ANR,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2066956441173323943,ANN_X_2066956441173323943,2026-06-16T18:49:52.426Z,2026-06-16T18:49:52.426Z,,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,0,0,1,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2066956441173323943,Confirmed or claimed product shortfall with moderate disruption.
CTX_2067399435009622521,ANN_X_2067399435009622521,2026-06-18T00:10:10.387Z,2026-06-18T00:10:10.387Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2067399435009622521,No single explicit event mechanism; weak contextual event.
CTX_STATUS_01KVYNAMMJ7AMF94YBECG6JG6Q,,2026-06-25T05:51:27.89Z,2026-06-25T05:51:27.89Z,2026-06-25T11:03:57.94Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KVYNAMMJ7AMF94YBECG6JG6Q,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2070653282440405046,ANN_X_2070653282440405046,2026-06-26T17:04:02Z,2026-06-26T17:04:02Z,2026-06-29T17:06:33Z,product_incident,product_or_infrastructure,investigating_or_monitoring,,,1,2,2,5,3,1,0,0,,1,,high,llm_rule_assisted_v0.1,STATUS_6ENF4645;SRC_X_2070653282440405046,Confirmed or claimed product shortfall with moderate disruption.
CTX_2071381664853319742,ANN_X_2071381664853319742,2026-06-26T17:04:02Z,2026-06-26T17:04:02Z,2026-06-29T17:06:33Z,product_incident,product_or_infrastructure,investigating_or_monitoring,,,1,2,2,5,3,1,0,0,,1,,high,llm_rule_assisted_v0.1,STATUS_6ENF4645;SRC_X_2071381664853319742,Confirmed or claimed product shortfall with moderate disruption.
CTX_2071740419030053227,ANN_X_2071740419030053227,2026-06-26T17:04:02Z,2026-06-26T17:04:02Z,2026-06-29T17:06:33Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,llm_rule_assisted_v0.1,STATUS_6ENF4645;SRC_X_2071740419030053227,Confirmed or claimed product shortfall with moderate disruption.
CTX_STATUS_01KWDW344V7XWEQERJSEW62W57,,2026-06-29T07:00:00Z,2026-06-29T07:00:00Z,2026-07-11T02:11:01.736Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KWDW344V7XWEQERJSEW62W57,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2075330198887940337,ANN_X_2075330198887940337,2026-07-09T21:24:11.842Z,2026-07-09T21:24:11.842Z,,product_launch_or_promotion,organization_or_community,,,ChatGPT Work,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2075330198887940337,New product/model/plan launch is novel and strategically salient.
CTX_2075641131002700120,ANN_X_2075641131002700120,2026-07-10T17:59:43.835Z,2026-07-10T17:59:43.835Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2075641131002700120,No single explicit event mechanism; weak contextual event.
